Epoch,Train,Test,Time
1,1.2341811621172922,0.9032773505546611,10.94094790600002
2,1.0024689785398557,0.8731031881552797,10.7541377069997
3,0.9898401693048613,0.9021597424400921,10.484671816000173
4,0.9734552036670376,0.8691157056598059,10.635079573999974
5,0.9501608876699016,0.8716015965338669,10.541663908000373
6,0.9353741474676099,0.8719885517111229,10.543547628999931
7,0.9134024579358194,0.8924549611037822,10.662511471000016
8,0.9160422328540112,0.8732611377001165,10.511466514999938
9,0.8842494562078482,0.890839383051538,10.724345271000402
10,0.879677023602617,0.8709004082091256,10.75336504400002
11,0.8687431380332357,0.8770839937901249,10.518704056999923
12,0.8511773371867523,0.8780747564053478,10.9865931610002
13,0.8552618664429211,0.8743613253999406,10.777196017999813
14,0.8455961940243605,0.8709548372485575,10.928446719000021
15,0.8337526492057136,0.8708556139180353,10.509729758000503
16,0.8158116805156679,0.8724291780251524,10.906118720999984
17,0.8151293800715822,0.873348503787233,10.389336658000502
18,0.8133947494697401,0.8721845658464114,10.622408261999226
19,0.8081862458522422,0.8760734706451514,10.545074059000399
20,0.7997831782140439,0.8696435940785167,10.45764465100001
21,0.7899546977654441,0.8782917221841324,10.774519100999896
22,0.7854333091119207,0.8731939521417618,10.71056168799987
23,0.781957751030245,0.8689146051844798,10.678723945999991
24,0.7692322902372564,0.9015940978697393,10.718575501000487
25,0.774879320838553,0.8736330338437972,10.626655232999838
26,0.7744833222242623,0.8714119946965901,10.887766949000252
27,0.7732964628372113,0.8726622505144848,10.45078679299968
28,0.762750435075891,0.8693411442842954,10.488485037999453
29,0.7620159762103846,0.879954698462298,10.80756326000028
30,0.7605152788773966,0.8716065710526182,10.896666237999852
31,0.7580410124926034,0.8745275061227857,10.554678230000718
32,0.7617238840965327,0.8788407208892407,10.621568898000078
33,0.7521456101411752,0.8730355820046573,10.78116086800037
34,0.7582163859059439,0.8706978029561444,10.617874856000526
35,0.7513931578793496,0.877047053709594,10.809764396999526
36,0.7477943525237004,0.8772582279162792,10.907436434999909
37,0.7521952515922513,0.8772345367868772,10.993586044999574
38,0.7464927423888991,0.8724553410017337,10.549953570999605
39,0.7499406963338834,0.8840439668006567,10.871619872000338
40,0.7487771280564078,0.8726175157612338,10.75561295999978
"ensemble of range(10, 40, 10)",0,0.8679368467291172,0
