Epoch,Train,Test,Time
1,1.7359248433185568,0.8836632339407582,9.386932826000702
2,0.9990031127184553,0.8902167967299432,9.184871441000723
3,0.9847431152674394,0.8770004312385079,9.173575621000055
4,0.9748777690828909,0.8858673192724743,9.286163347999718
5,0.9602916541903589,0.875399600589024,8.865895100000671
6,0.9457947586353576,0.8869878086493008,9.216207322000628
7,0.9282856766285689,0.8930761670923679,9.136313058999804
8,0.9313380311808293,0.8740516503141331,9.130653352000081
9,0.894997236964597,0.8780456908991211,9.234590313999433
10,0.8920434453371405,0.8750400535086742,9.274540080000406
11,0.8810062610520067,0.8776268806607511,9.14484984199953
12,0.8643267387990778,0.8728551548713187,8.954385383000044
13,0.8624263262114615,0.8718379345591132,9.160161210999831
14,0.8578654200263736,0.8839554708946269,9.097265267999319
15,0.838100610916087,0.8726448313011855,9.159354678000454
16,0.8242929267026022,0.8754754789535433,9.02370209900073
17,0.8241026316728145,0.8754167850520685,9.153611040000214
18,0.8144459030987108,0.8747307320244309,9.126536280999971
19,0.8108393019712079,0.8741056647796548,9.190728210000088
20,0.802353156080552,0.8724023723414703,9.008017633000236
21,0.7947109042864376,0.8751369379367705,9.099910994999846
22,0.7939852221188429,0.8768203217572856,9.244291766999595
23,0.7869302262589247,0.8710574956234188,9.11750098199991
24,0.778775060937469,0.8919683298307097,9.325859089000005
25,0.7807423253757962,0.88333697522341,9.21492968199982
26,0.7750654889045779,0.8743892011930686,9.376635824000005
27,0.7770124025823791,0.8722492654021123,9.074106836000283
28,0.7678669382637598,0.8712293961396227,9.129753659000016
29,0.7648294660090226,0.8769401538172344,8.968724344000293
30,0.7658902999449513,0.8739723820510443,8.944101897999644
31,0.7608542951273987,0.8714537641072901,9.282984241999657
32,0.7627277087226022,0.8751024862654738,9.266271157999654
33,0.7590133932242472,0.8761114307051772,9.20949146500061
34,0.7590593243595659,0.8726197651182162,8.997689951000211
35,0.7551187500142549,0.8748386006597684,9.10339834899969
36,0.7521088273699528,0.8805999573860327,9.195780887999717
37,0.7555254366806153,0.8730557124861336,9.172961262000172
38,0.750675436618535,0.8722358965079126,9.270655535000515
39,0.7531826543656669,0.8769565463982326,9.139979151000261
40,0.7556184652195173,0.875480265378611,9.278844032000052
"ensemble of range(10, 40, 10)",0,0.8725360400278177,0
