Epoch,Train,Test,Time
1,1.5182350879944044,0.8806064722236134,7.460808777999773
2,0.9699709481705346,0.8847296232863285,7.279651773999831
3,0.9567806987937348,0.8797293448090696,7.196358477999638
4,0.9551746956352508,0.8829866353186263,7.316886392000015
5,0.9425398173286061,0.8777256091213848,7.283141048999823
6,0.9202400744948166,0.8760272273212616,7.29925070399986
7,0.9088113002870014,0.8887881177300809,7.093512270999781
8,0.8990945580111313,0.8761005345143668,7.152411417999247
9,0.8812806659480432,0.8870178696148114,7.158594372999687
10,0.8764282831854803,0.8759526143430655,7.34776901999976
11,0.8641190251620481,0.8715977787658847,7.3400813550006205
12,0.8560598782219574,0.8837257578911479,7.406566546999784
13,0.8476976796030735,0.889718034231262,7.396204204000242
14,0.83953275726999,0.9174831785328023,7.215973880000092
15,0.8342569131466787,0.871406662976855,7.199292305999734
16,0.8256587483119147,0.8762920007993455,7.275542222000695
17,0.8185617986843206,0.871485686557281,7.18467500099996
18,0.8034617492375906,0.8781627044806751,7.128540587000316
19,0.8134957287105685,0.8728463180683214,7.21550785799991
20,0.7968627094012971,0.8791681227857604,7.166276973000095
21,0.7988308463837097,0.8708593167261797,7.166917280999769
22,0.7908740277645806,0.871316460092303,7.100986477999868
23,0.7850872010883279,0.8758979216202812,7.159876931999861
24,0.7798061957381985,0.8746398254459181,7.135366669000177
25,0.7829620944262361,0.8713042777606055,7.09342370900049
26,0.7747733143776134,0.8752607934295421,7.14060182799949
27,0.7765626771342958,0.872024831734987,7.046082195999588
28,0.7697385632806064,0.8775515742030608,7.232535017999908
29,0.7671106990169317,0.8799377447736647,7.213622921000024
30,0.7647588118268084,0.8742304221099831,7.021267668999826
31,0.7639045450608057,0.8745443794735783,6.955020869999316
32,0.7576767593055412,0.8792712389254805,7.059405345000414
33,0.7604227239013953,0.8745805942045302,7.182471856999655
34,0.7558587524583817,0.8761704745468754,7.119393045999459
35,0.7573807798079307,0.8738087970449769,7.155189310000424
36,0.7556219173572852,0.8748952120982135,7.030456862999927
37,0.7554913011491349,0.8760586722858585,7.071490380000796
38,0.7514187667735831,0.8743127144297331,7.103234037999755
39,0.7517380441418324,0.873741447042362,7.154917531999672
40,0.7516806629051638,0.8752814435366348,7.043947846999799
"ensemble of range(10, 40, 10)",0,0.8719738416864778,0
